location,count,link
"united states--washington (state)--whitman county--elberton",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--elberton"
"united states--washington (state)--whitman county--malden",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--malden"
"united states--washington (state)--washington national forest",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--washington%20national%20forest"
"north and central america--northwestern united states",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#north%20and%20central%20america--northwestern%20united%20states"
"united states--washington (terr.)--okanogan county--colville indian reservation",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--okanogan%20county--colville%20indian%20reservation"
"united states--washington (state)--pierce county--camp lewis",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--pierce%20county--camp%20lewis"
"united states--washington (terr.)--kittitas county--roslyn",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--kittitas%20county--roslyn"
"united states--washington (state)--snoqualmie national forest",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--snoqualmie%20national%20forest"
"united states--idaho--bonner county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--bonner%20county"
"united states--washington (terr.)--spokane county--spokane",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--spokane%20county--spokane"
"united states--washington (state)--whatcom county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whatcom%20county"
"united states--oregon--morrow county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--morrow%20county"
"united states--washington (terr.)--lincoln county--fort spokane",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--lincoln%20county--fort%20spokane"
"united states--oregon--multnomah county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--multnomah%20county"
"united states--oregon--hood river county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--oregon--hood%20river%20county"
"united states--washington (state)--whitman county--willada or lancaster",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--willada%20or%20lancaster"
"united states--washington (state)--whitman county--tekoa",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--tekoa"
"united states--idaho--latah county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--idaho--latah%20county"
"united states--washington (state)--whitman county--texas city",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--texas%20city"
"united states--washington (state)--glacier peak",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--glacier%20peak"
"united states--washington (state)--mason county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--mason%20county"
"united states--washington (state)--whatcom county--mount baker region",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whatcom%20county--mount%20baker%20region"
"united states--washington (terr.)--spokane county",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(terr.)--spokane%20county"
"united states--washington (state)--whitman county--lamont",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--whitman%20county--lamont"
"united states--washington (state)--olympic national forest",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--olympic%20national%20forest"
"united states--washington (state)--columbia river",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--columbia%20river"
"united states--washington (state)--skagit county--mount baker region",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--skagit%20county--mount%20baker%20region"
"united states--washington (state)--benton county--kennewick",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--benton%20county--kennewick"
"united states--washington (state)--gifford pinchot national forest",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--gifford%20pinchot%20national%20forest"
"united states--washington (state)--kittitas county--ellensburg",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--washington%20(state)--kittitas%20county--ellensburg"
"united states--iowa",2,"https://collectionbuilder.github.io/demo/wsu-maps/browse.html#united%20states--iowa"
