location,count,link
"gaston county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#gaston%20county,%20north%20carolina,%20united%20states"
"rocky mount, nash county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#rocky%20mount,%20nash%20county,%20north%20carolina,%20united%20states"
"graham county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#graham%20county,%20north%20carolina,%20united%20states"
"durham, durham county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#durham,%20durham%20county,%20north%20carolina,%20united%20states"
"waynesville, haywood county, north carolina, united states",6,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#waynesville,%20haywood%20county,%20north%20carolina,%20united%20states"
"west jefferson, ashe county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#west%20jefferson,%20ashe%20county,%20north%20carolina,%20united%20states"
"jacksonville, onslow county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#jacksonville,%20onslow%20county,%20north%20carolina,%20united%20states"
"henderson, vance county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#henderson,%20vance%20county,%20north%20carolina,%20united%20states"
"alamance county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#alamance%20county,%20north%20carolina,%20united%20states"
"henderson county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#henderson%20county,%20north%20carolina,%20united%20states"
"wayne county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wayne%20county,%20north%20carolina,%20united%20states"
"martin county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#martin%20county,%20north%20carolina,%20united%20states"
"hyde county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#hyde%20county,%20north%20carolina,%20united%20states"
"washington, district of columbia, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#washington,%20district%20of%20columbia,%20united%20states"
"vance county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#vance%20county,%20north%20carolina,%20united%20states"
"asheboro, randolph county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#asheboro,%20randolph%20county,%20north%20carolina,%20united%20states"
"morganton, burke county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#morganton,%20burke%20county,%20north%20carolina,%20united%20states"
"monroe, union county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#monroe,%20union%20county,%20north%20carolina,%20united%20states"
"wilson, wilson county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#wilson,%20wilson%20county,%20north%20carolina,%20united%20states"
"dallas, gaston county, north carolina, united states",5,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#dallas,%20gaston%20county,%20north%20carolina,%20united%20states"
"fontana regional library",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#fontana%20regional%20library"
"watauga county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#watauga%20county,%20north%20carolina,%20united%20states"
"anson county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#anson%20county,%20north%20carolina,%20united%20states"
"brevard, transylvania county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#brevard,%20transylvania%20county,%20north%20carolina,%20united%20states"
"altapass, mitchell county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#altapass,%20mitchell%20county,%20north%20carolina,%20united%20states"
"bladenboro, bladen county, north carolina, united states",4,"https://collectionbuilder.github.io/demo/libraryhistory/browse.html#bladenboro,%20bladen%20county,%20north%20carolina,%20united%20states"
