subject,count,link
"moravians--north carolina-- winston-salem",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#moravians--north%20carolina--%20winston-salem"
"hunting--north carolina--cape fear river",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#hunting--north%20carolina--cape%20fear%20river"
"english language--dialects--appalachian region",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#english%20language--dialects--appalachian%20region"
"superstition--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#superstition--north%20carolina"
"popular culture--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#popular%20culture--north%20carolina"
"christmas-north carolina--rodanthe",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#christmas-north%20carolina--rodanthe"
"shells",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#shells"
"signs and symbols--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#signs%20and%20symbols--north%20carolina"
"superstition--religious aspects",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#superstition--religious%20aspects"
"agriculture",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#agriculture"
"legends--north carolina--chatham county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#legends--north%20carolina--chatham%20county"
"brick trade--north carolina--winston-salem",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#brick%20trade--north%20carolina--winston-salem"
"folk songs--north carolina--scotland county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20songs--north%20carolina--scotland%20county"
"tales--africa",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tales--africa"
"cherokee indians--north carolina--mythology",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#cherokee%20indians--north%20carolina--mythology"
"myths",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#myths"
"legends--north carolina--rocky point (pender county)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#legends--north%20carolina--rocky%20point%20(pender%20county)"
"ghosts",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#ghosts"
"green, paul eliot, 1894-1981",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#green,%20paul%20eliot,%201894-1981"
"poets",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#poets"
"folklore--north carolina--harkers island",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--harkers%20island"
"halloween",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#halloween"
"folklore--north carolina--salter path",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklore--north%20carolina--salter%20path"
"boxing",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#boxing"
"caldwell, erskine, 1903-1987",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#caldwell,%20erskine,%201903-1987"
"novelists, american",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#novelists,%20american"
"legends--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#legends--north%20carolina"
"witches--north carolina--iredell county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#witches--north%20carolina--iredell%20county"
"tales--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tales--north%20carolina"
"alston, theodosia burr, 1783-1813",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#alston,%20theodosia%20burr,%201783-1813"
"topsail island (n.c.)--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#topsail%20island%20(n.c.)--history"
"germans--north carolina--davidson county--social life and customs",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#germans--north%20carolina--davidson%20county--social%20life%20and%20customs"
"easter",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#easter"
"brickell, john, 1710?-1745",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#brickell,%20john,%201710?-1745"
"dial, adolf l., 1922-1995",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#dial,%20adolf%20l.,%201922-1995"
"pembroke state university",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#pembroke%20state%20university"
"cherokee indians--north carolina-- social life and customs",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#cherokee%20indians--north%20carolina--%20social%20life%20and%20customs"
"qualla arts and crafts mutual, inc.",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#qualla%20arts%20and%20crafts%20mutual,%20inc."
"dupree, betty",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#dupree,%20betty"
"literature",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#literature"
"railroads--folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#railroads--folklore"
"haunted houses",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#haunted%20houses"
"birds--folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#birds--folklore"
